Inclusion,Location,1,2,3,4,5,6,7,8,9,Shape,CL1,CL2,,,,,,,,,,,,,
TW1,,Applicable only on,,VS2,SI2,,,,,,Round,,,,,,,,,,,,,,,
TW1,Table,0.0%,0.0%,0.0%,-0.5%,-0.5%,0.0%,1.5%,1.5%,0.5%,Round,VS2,SI2,,,,,,,,,,,,,
TW1,Crown,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.5%,1.5%,0.5%,Round,VS2,SI2,,,,,,,,,,,,,
TW1,Girdle,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,VS2,SI2,,,,,,,,,,,,,
TW1,Pavilion,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,VS2,SI2,,,,,,,,,,,,,
TW2,,Applicable only on,,VS2,I1,,,,,,Round,,,,,,,,,,,,,,,
TW2,Table,0.0%,0.0%,0.0%,-1.0%,-1.0%,-0.5%,1.0%,1.0%,0.0%,Round,VS2,I1,,,,,,,,,,,,,
TW2,Crown,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.0%,1.0%,0.0%,Round,VS2,I1,,,,,,,,,,,,,
TW2,Girdle,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,VS2,I1,,,,,,,,,,,,,
TW2,Pavilion,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,VS2,I1,,,,,,,,,,,,,
TW3,,Applicable only on,,SI2,I1,,,,,,Round,,,,,,,,,,,,,,,
TW3,Table,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.5%,0.5%,0.0%,Round,SI2,I1,,,,,,,,,,,,,
TW3,Crown,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.5%,0.5%,0.0%,Round,SI2,I1,,,,,,,,,,,,,
TW3,Girdle,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,SI2,I1,,,,,,,,,,,,,
TW3,Pavilion,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,SI2,I1,,,,,,,,,,,,,
N1,,Applicable only on,,VVS1,SI2,,,,,,Round,,,,,,,,,,,,,,,
N1,Table,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,VVS1,SI2,,,,,,,,,,,,,
N1,Crown,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,VVS1,SI2,,,,,,,,,,,,,
N1,Girdle,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,VVS1,SI2,,,,,,,,,,,,,
N1,Pavilion,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,VVS1,SI2,,,,,,,,,,,,,
N2,,Applicable only on,,VVS1,SI2,,,,,,Round,,,,,,,,,,,,,,,
N2,Table,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,VVS1,SI2,,,,,,,,,,,,,
N2,Crown,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,VVS1,SI2,,,,,,,,,,,,,
N2,Girdle,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,VVS1,SI2,,,,,,,,,,,,,
N2,Pavilion,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,VVS1,SI2,,,,,,,,,,,,,
N3,,Applicable only on,,VS2,I1,,,,,,Round,,,,,,,,,,,,,,,
N3,Table,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,VS2,I1,,,,,,,,,,,,,
N3,Crown,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,VS2,I1,,,,,,,,,,,,,
N3,Girdle,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,VS2,I1,,,,,,,,,,,,,
N3,Pavilion,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,VS2,I1,,,,,,,,,,,,,
N4,,Applicable only on,,SI1,I1,,,,,,Round,,,,,,,,,,,,,,,
N4,Table,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,SI1,I1,,,,,,,,,,,,,
N4,Crown,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,SI1,I1,,,,,,,,,,,,,
N4,Girdle,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,SI1,I1,,,,,,,,,,,,,
N4,Pavilion,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,SI1,I1,,,,,,,,,,,,,
C1,,Applicable only on,,VS1,SI1,,,,,,Round,,,,,,,,,,,,,,,
C1,Table,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,VS1,SI1,,,,,,,,,,,,,
C1,Crown,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,VS1,SI1,,,,,,,,,,,,,
C1,Girdle,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,VS1,SI1,,,,,,,,,,,,,
C1,Pavilion,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,VS1,SI1,,,,,,,,,,,,,
C2,,Applicable only on,,VS1,SI1,,,,,,Round,,,,,,,,,,,,,,,
C2,Table,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,VS1,SI1,,,,,,,,,,,,,
C2,Crown,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,VS1,SI1,,,,,,,,,,,,,
C2,Girdle,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,VS1,SI1,,,,,,,,,,,,,
C2,Pavilion,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,VS1,SI1,,,,,,,,,,,,,
C3,,Applicable only on,,VS2,I1,,,,,,Round,,,,,,,,,,,,,,,
C3,Table,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,VS2,I1,,,,,,,,,,,,,
C3,Crown,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,VS2,I1,,,,,,,,,,,,,
C3,Girdle,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,VS2,I1,,,,,,,,,,,,,
C3,Pavilion,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,VS2,I1,,,,,,,,,,,,,
CO1,,Applicable only on,,VS1,SI1,,,,,,Round,,,,,,,,,,,,,,,
CO1,Table,0.0%,0.0%,0.0%,-0.5%,-0.5%,0.0%,0.0%,0.0%,0.0%,Round,VS1,SI1,,,,,,,,,,,,,
CO1,Crown,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,VS1,SI1,,,,,,,,,,,,,
CO1,Girdle,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,VS1,SI1,,,,,,,,,,,,,
CO1,Pavilion,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,VS1,SI1,,,,,,,,,,,,,
CO2,,Applicable only on,,VS1,SI1,,,,,,Round,,,,,,,,,,,,,,,
CO2,Table,0.0%,0.0%,0.0%,-1.0%,-1.0%,-1.0%,-1.0%,0.0%,0.0%,Round,VS1,SI1,,,,,,,,,,,,,
CO2,Crown,0.0%,0.0%,0.0%,-0.5%,-0.5%,-0.5%,0.0%,0.0%,0.0%,Round,VS1,SI1,,,,,,,,,,,,,
CO2,Girdle,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,VS1,SI1,,,,,,,,,,,,,
CO2,Pavilion,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,VS1,SI1,,,,,,,,,,,,,
CO3,,Applicable only on,,VS2,SI2,,,,,,Round,,,,,,,,,,,,,,,
CO3,Table,0.0%,0.0%,0.0%,-2.0%,-2.0%,-1.5%,-1.5%,-1.0%,0.0%,Round,VS2,SI2,,,,,,,,,,,,,
CO3,Crown,0.0%,0.0%,0.0%,-1.0%,-1.0%,-0.5%,-0.5%,0.0%,0.0%,Round,VS2,SI2,,,,,,,,,,,,,
CO3,Girdle,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,VS2,SI2,,,,,,,,,,,,,
CO3,Pavilion,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,VS2,SI2,,,,,,,,,,,,,
CL1,,Applicable only on,,IF,VS1,,,,,,Round,,,,,,,,,,,,,,,
CL1,Table,0.0%,0.0%,0.0%,-0.5%,-0.5%,0.0%,0.0%,0.0%,0.0%,Round,IF,VS1,,,,,,,,,,,,,
CL1,Crown,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,IF,VS1,,,,,,,,,,,,,
CL1,Girdle,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,IF,VS1,,,,,,,,,,,,,
CL1,Pavilion,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,IF,VS1,,,,,,,,,,,,,
CL2,,Applicable only on,,VVS2,SI1,,,,,,Round,,,,,,,,,,,,,,,
CL2,Table,0.0%,0.0%,0.0%,-1.0%,-1.0%,0.0%,0.0%,0.0%,0.0%,Round,VVS2,SI1,,,,,,,,,,,,,
CL2,Crown,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,VVS2,SI1,,,,,,,,,,,,,
CL2,Girdle,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,VVS2,SI1,,,,,,,,,,,,,
CL2,Pavilion,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,VVS2,SI1,,,,,,,,,,,,,
CL3,,Applicable only on,,VS1,SI2,,,,,,Round,,,,,,,,,,,,,,,
CL3,Table,0.0%,0.0%,0.0%,-1.5%,-1.5%,-0.5%,-1.0%,-1.0%,0.0%,Round,VS1,SI2,,,,,,,,,,,,,
CL3,Crown,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,VS1,SI2,,,,,,,,,,,,,
CL3,Girdle,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,VS1,SI2,,,,,,,,,,,,,
CL3,Pavilion,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Round,VS1,SI2,,,,,,,,,,,,,
None,,,,,,,,,,,Round,,,,,,,,,,,,,,,
PP1,Table,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fancy,IF,VS1,,,,,,,,,,,,,
PP1,Crown,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fancy,IF,VS1,,,,,,,,,,,,,
PP1,Girdle,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fancy,IF,VS1,,,,,,,,,,,,,
PP1,Pavilion,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fancy,IF,VS1,,,,,,,,,,,,,
PP2,,Applicable only on,,IF,VS1,,,,,,Fancy,,,,,,,,,,,,,,,
PP2,Table,-0.5%,-0.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fancy,IF,VS2,,,,,,,,,,,,,
PP2,Crown,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fancy,IF,VS2,,,,,,,,,,,,,
PP2,Girdle,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fancy,IF,VS2,,,,,,,,,,,,,
PP2,Pavilion,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fancy,IF,VS2,,,,,,,,,,,,,
F1,,Applicable only on,,VVS2,VS2,,,,,,Fancy,,,,,,,,,,,,,,,
F1,Table,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fancy,VVS2,VS2,,,,,,,,,,,,,
F1,Crown,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fancy,VVS2,VS2,,,,,,,,,,,,,
F1,Girdle,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fancy,VVS2,VS2,,,,,,,,,,,,,
F1,Pavilion,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fancy,VVS2,VS2,,,,,,,,,,,,,
F2,,Applicable only on,,VS2,SI2,,,,,,Fancy,,,,,,,,,,,,,,,
F2,Table,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fancy,VS2,SI2,,,,,,,,,,,,,
F2,Crown,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fancy,VS2,SI2,,,,,,,,,,,,,
F2,Girdle,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fancy,VS2,SI2,,,,,,,,,,,,,
F2,Pavilion,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fancy,VS2,SI2,,,,,,,,,,,,,
F3,,Applicable only on,,SI1,I1,,,,,,Fancy,,,,,,,,,,,,,,,
F3,Table,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fancy,SI1,I1,,,,,,,,,,,,,
F3,Crown,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fancy,SI1,I1,,,,,,,,,,,,,
F3,Girdle,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fancy,SI1,I1,,,,,,,,,,,,,
F3,Pavilion,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fancy,SI1,I1,,,,,,,,,,,,,
F4,,Applicable only on,,SI2,I1,,,,,,Fancy,,,,,,,,,,,,,,,
F4,Table,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fancy,SI2,I1,,,,,,,,,,,,,
F4,Crown,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fancy,SI2,I1,,,,,,,,,,,,,
F4,Girdle,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fancy,SI2,I1,,,,,,,,,,,,,
F4,Pavilion,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fancy,SI2,I1,,,,,,,,,,,,,
TW1,,Applicable only on,,VS2,SI2,,,,,,Fancy,,,,,,,,,,,,,,,
TW1,Table,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.5%,1.5%,0.5%,Fancy,VS2,SI2,,,,,,,,,,,,,
TW1,Crown,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.5%,1.5%,0.5%,Fancy,VS2,SI2,,,,,,,,,,,,,
TW1,Girdle,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fancy,VS2,SI2,,,,,,,,,,,,,
TW1,Pavilion,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fancy,VS2,SI2,,,,,,,,,,,,,
TW2,,Applicable only on,,VS2,I1,,,,,,Fancy,,,,,,,,,,,,,,,
TW2,Table,0.0%,0.0%,0.0%,-0.5%,-0.5%,-0.5%,1.0%,1.0%,0.0%,Fancy,VS2,I1,,,,,,,,,,,,,
TW2,Crown,0.0%,0.0%,0.0%,-0.5%,-0.5%,0.0%,1.0%,1.0%,0.0%,Fancy,VS2,I1,,,,,,,,,,,,,
TW2,Girdle,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fancy,VS2,I1,,,,,,,,,,,,,
TW2,Pavilion,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fancy,VS2,I1,,,,,,,,,,,,,
TW3,,Applicable only on,,SI2,I1,,,,,,Fancy,,,,,,,,,,,,,,,
TW3,Table,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.0%,1.0%,0.0%,Fancy,SI2,I1,,,,,,,,,,,,,
TW3,Crown,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.5%,0.5%,0.0%,Fancy,SI2,I1,,,,,,,,,,,,,
TW3,Girdle,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fancy,SI2,I1,,,,,,,,,,,,,
TW3,Pavilion,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fancy,SI2,I1,,,,,,,,,,,,,
N1,,Applicable only on,,VVS1,SI2,,,,,,Fancy,,,,,,,,,,,,,,,
N1,Table,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fancy,VVS1,SI2,,,,,,,,,,,,,
N1,Crown,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fancy,VVS1,SI2,,,,,,,,,,,,,
N1,Girdle,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fancy,VVS1,SI2,,,,,,,,,,,,,
N1,Pavilion,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fancy,VVS1,SI2,,,,,,,,,,,,,
N2,,Applicable only on,,VVS1,SI2,,,,,,Fancy,,,,,,,,,,,,,,,
N2,Table,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fancy,VVS1,SI2,,,,,,,,,,,,,
N2,Crown,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fancy,VVS1,SI2,,,,,,,,,,,,,
N2,Girdle,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fancy,VVS1,SI2,,,,,,,,,,,,,
N2,Pavilion,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fancy,VVS1,SI2,,,,,,,,,,,,,
N3,,Applicable only on,,VS2,I1,,,,,,Fancy,,,,,,,,,,,,,,,
N3,Table,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fancy,VS2,I1,,,,,,,,,,,,,
N3,Crown,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fancy,VS2,I1,,,,,,,,,,,,,
N3,Girdle,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fancy,VS2,I1,,,,,,,,,,,,,
N3,Pavilion,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fancy,VS2,I1,,,,,,,,,,,,,
N4,,Applicable only on,,SI1,I1,,,,,,Fancy,,,,,,,,,,,,,,,
N4,Table,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fancy,SI1,I1,,,,,,,,,,,,,
N4,Crown,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fancy,SI1,I1,,,,,,,,,,,,,
N4,Girdle,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fancy,SI1,I1,,,,,,,,,,,,,
N4,Pavilion,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fancy,SI1,I1,,,,,,,,,,,,,
C1,,Applicable only on,,VS1,SI1,,,,,,Fancy,,,,,,,,,,,,,,,
C1,Table,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fancy,VS1,SI1,,,,,,,,,,,,,
C1,Crown,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fancy,VS1,SI1,,,,,,,,,,,,,
C1,Girdle,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fancy,VS1,SI1,,,,,,,,,,,,,
C1,Pavilion,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fancy,VS1,SI1,,,,,,,,,,,,,
C2,,Applicable only on,,VS1,SI1,,,,,,Fancy,,,,,,,,,,,,,,,
C2,Table,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fancy,VS1,SI1,,,,,,,,,,,,,
C2,Crown,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fancy,VS1,SI1,,,,,,,,,,,,,
C2,Girdle,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fancy,VS1,SI1,,,,,,,,,,,,,
C2,Pavilion,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fancy,VS1,SI1,,,,,,,,,,,,,
C3,,Applicable only on,,VS2,I1,,,,,,Fancy,,,,,,,,,,,,,,,
C3,Table,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fancy,VS2,I1,,,,,,,,,,,,,
C3,Crown,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fancy,VS2,I1,,,,,,,,,,,,,
C3,Girdle,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fancy,VS2,I1,,,,,,,,,,,,,
C3,Pavilion,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fancy,VS2,I1,,,,,,,,,,,,,
CO1,,Applicable only on,,VS1,SI1,,,,,,Fancy,,,,,,,,,,,,,,,
CO1,Table,0.0%,0.0%,0.0%,-1.0%,-1.0%,-0.5%,0.0%,0.0%,0.0%,Fancy,VS1,SI1,,,,,,,,,,,,,
CO1,Crown,0.0%,0.0%,0.0%,-0.5%,-0.5%,0.0%,0.0%,0.0%,0.0%,Fancy,VS1,SI1,,,,,,,,,,,,,
CO1,Girdle,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fancy,VS1,SI1,,,,,,,,,,,,,
CO1,Pavilion,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Fancy,VS1,SI1,,,,,,,,,,,,,
CO2,,Applicable only on,,VS1,SI2,,,,,,Fancy,,,,,,,,,,,,,,,
